date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:28	33195/33195	---MCZ	200	added ('OK')	text/html	etag:W/%2281ab-HMBDZhWBYjw8Ize5Y8moqQ83OJA%22	https://www.odopod.com/	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/index.html	(from )
17:29:28	50/50	---M--	200	added ('OK')	text/plain	etag:W/%2232-S+/cWKvFibvF8/thQSejkSjhJxg%22	https://www.odopod.com/robots.txt		(from )
17:29:29	2431/2431	---M--	200	added ('OK')	image/png	etag:W/%2297f-16447819cd0%22	https://www.odopod.com/assets/favicons/apple-touch-icon.png	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/apple-touch-icon.png	(from https://www.odopod.com/)
17:29:30	487990/487990	---M--	200	added ('OK')	image/jpeg	etag:W/%2277236-16447819cd0%22	https://www.odopod.com/assets/images/culture/culture-carousel01-01-2x1-md.jpg	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/images/culture/culture-carousel01-01-2x1-md.jpg	(from https://www.odopod.com/)
17:29:30	838/838	---M--	200	added ('OK')	image/png	etag:W/%22346-16447819cd0%22	https://www.odopod.com/assets/favicons/favicon-32x32.png	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/favicon-32x32.png	(from https://www.odopod.com/)
17:29:31	613/613	---M--	200	added ('OK')	image/png	etag:W/%22265-16447819cd0%22	https://www.odopod.com/assets/favicons/favicon-16x16.png	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/favicon-16x16.png	(from https://www.odopod.com/)
17:29:32	452/452	---M--	200	added ('OK')	application/json	etag:W/%221c4-16447819cd0%22	https://www.odopod.com/assets/favicons/manifest.json	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/manifest.json	(from https://www.odopod.com/)
17:29:34	2712/2712	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a98-16447819cd0%22	https://www.odopod.com/assets/favicons/safari-pinned-tab.svg	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/safari-pinned-tab.svg	(from https://www.odopod.com/)
17:29:35	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-16447819cd0%22	https://www.odopod.com/assets/favicons/favicon.ico	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/favicon.ico	(from https://www.odopod.com/)
17:29:35	262/262	---M--	200	added ('OK')	text/xml	etag:W/%22106-16447819cd0%22	https://www.odopod.com/assets/favicons/browserconfig.xml	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/favicons/browserconfig.xml	(from https://www.odopod.com/)
17:29:37	47065/47065	---MCZ	200	added ('OK')	text/css	etag:W/%22b7d9-16447a86680%22	https://www.odopod.com/css/critical.b09fe7016198440d7b41.css	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/css/critical.b09fe7016198440d7b41.css	(from https://www.odopod.com/)
17:29:38	15852/15852	---MCZ	200	added ('OK')	text/css	etag:W/%223dec-16447a86680%22	https://www.odopod.com/css/common.b0ffb42f9f25a59ad14b.css	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/css/common.b0ffb42f9f25a59ad14b.css	(from https://www.odopod.com/)
17:29:38	732/732	---M--	200	added ('OK')	text/css	etag:W/%222dc-16447a86680%22	https://www.odopod.com/css/index.aebbedaa2d45af1fca9e.css	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/css/index.aebbedaa2d45af1fca9e.css	(from https://www.odopod.com/)
17:29:40	39430/39430	---MCZ	200	added ('OK')	text/html	etag:W/%229a06-xV8QLgc1Ycy2eArtzivvUmO52zc%22	https://www.odopod.com/case-studies	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/case-studies.html	(from https://www.odopod.com/)
17:29:41	41947/41947	---MCZ	200	added ('OK')	text/html	etag:W/%22a3db-mBwsVcWKCRsPXLPeQjGm3aFT5RE%22	https://www.odopod.com/offerings	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/offerings.html	(from https://www.odopod.com/)
17:29:42	34205/34205	---MCZ	200	added ('OK')	text/html	etag:W/%22859d-z7AVNXeQ0AjcF93Kc4gyK7F8ItY%22	https://www.odopod.com/news	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/news.html	(from https://www.odopod.com/)
17:29:43	34225/34225	---MCZ	200	added ('OK')	text/html	etag:W/%2285b1-R7f0gLX2gwH1SnS3XF+nJ6McAsU%22	https://www.odopod.com/case-studies/sephora-collection	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/case-studies/sephora-collection.html	(from https://www.odopod.com/)
17:29:44	42267/42267	---MCZ	200	added ('OK')	text/html	etag:W/%22a51b-s7MmA18RTIaqCWDZsOMFqw4cIFw%22	https://www.odopod.com/case-studies/hennessy	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/case-studies/hennessy.html	(from https://www.odopod.com/)
17:29:45	49564/49564	---MCZ	200	added ('OK')	text/html	etag:W/%22c19c-HeDcAkn83Uf17vSMxunzeqWBUz4%22	https://www.odopod.com/case-studies/tesla-motors	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/case-studies/tesla-motors.html	(from https://www.odopod.com/)
17:29:46	224404/224404	---M--	200	added ('OK')	image/png	etag:W/%2236c94-16447819cd0%22	https://www.odopod.com/assets/images/homepage/home-links-01-xs.png	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/images/homepage/home-links-01-xs.png	(from https://www.odopod.com/)
17:29:47	201643/201643	---M--	200	added ('OK')	image/png	etag:W/%22313ab-16447819cd0%22	https://www.odopod.com/assets/images/homepage/home-links-02-xs.png	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/assets/images/homepage/home-links-02-xs.png	(from https://www.odopod.com/)
17:29:48	83744/83744	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214720-7438674ba0%22	https://www.odopod.com/js/shim.min.js	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/js/shim.min.js	(from https://www.odopod.com/)
17:29:49	1127/1127	---MCZ	200	added ('OK')	application/javascript	etag:W/%22467-16447a86680%22	https://www.odopod.com/js/runtime.93aecad0c774b58c5c03.js	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/js/runtime.93aecad0c774b58c5c03.js	(from https://www.odopod.com/)
17:29:50	155469/155469	---MCZ	200	added ('OK')	application/javascript	etag:W/%2225f4d-16447a86680%22	https://www.odopod.com/js/common.e5fcfed3d600752e0a7c.js	/Users/soyombobat-erdene/Documents/odo/www.odopod.com/js/common.e5fcfed3d600752e0a7c.js	(from https://www.odopod.com/)
